"Name","Cat","Lic","Type","PromptChars","Videos","CF","Mux","HLS","Framer","GSAP","Three","Shadcn","Lucide","Vite","Next","React","TW","TS","Auto","Loop","Mute","Scroll","Mouse","Marquee","Glass","D3","Fonts"
"Nexora_Automation","SaaS","Free","hero","5345","1","1","0","False","True","False","False","True","True","False","False","True","True","False","True","True","True","True","False","False","True","False","Inter,Instrument Serif"
"Nexus_IT_Solutions","Hero Section","Premium","hero","2271","1","1","0","False","False","False","False","False","False","False","False","True","True","True","True","True","True","False","False","False","False","False","Inter"
"Nickel_Payments","SaaS","Premium","hero","2662","1","1","0","False","False","False","False","True","False","False","False","True","True","False","True","True","True","False","False","False","False","False","Inter"
"NOVA_Space_Systems","Landing Page","Premium","landing-page","5107","2","3","0","False","False","False","False","True","True","True","False","True","True","True","True","True","True","True","False","False","False","False","Space Grotesk"
"Orbis_NFT","Landing Page","Premium","landing-page","8277","6","6","0","False","False","False","False","False","True","True","False","True","True","True","True","True","True","False","False","False","True","True","Inter"
"Orbit_Engineers","Agency","Premium","landing-page","5514","3","3","0","False","True","False","False","False","True","False","False","True","True","False","True","True","True","True","True","False","False","False","Inter"
"Orbit_Web3","Web3","Premium","hero","3218","1","1","0","False","False","False","False","False","True","False","False","False","False","False","True","True","True","True","False","True","False","False","Inter,Instrument Serif"
"Planet_Orbit","SaaS","Premium","hero","3225","1","1","0","False","False","False","False","False","False","False","False","False","False","False","True","True","True","True","False","True","True","False","Geist"
"Portfolio_Cosmic","Portfolio","Free","hero","8254","1","0","2","True","True","True","False","False","False","True","False","True","True","True","True","True","True","True","False","True","True","True","Inter,Instrument Serif"
"Power_AI","Hero Section","Free","hero","3839","1","1","0","False","False","False","False","False","False","False","False","False","False","False","False","True","False","True","False","True","True","False","Inter,Geist"
"Price_Calculator","SaaS","Free","hero","3169","0","0","0","False","False","False","False","True","False","False","False","False","False","False","False","False","True","False","False","False","False","False",""
"Railroad.ai","Hero Section","Premium","hero","3914","1","1","0","False","True","False","False","True","True","True","False","True","True","True","True","True","True","False","False","False","True","False","Inter,Barlow"
"SkyElite_Private_Jets","Landing Page","Free","hero","2286","1","1","0","False","False","False","False","False","True","False","False","True","True","True","True","True","True","False","False","False","False","False","Inter"
"Space_Voyage","Landing Page","Premium","hero","5750","2","2","0","False","True","False","False","False","True","True","False","True","True","True","True","True","True","False","False","False","True","False","Inter,Instrument Serif,Barlow"
"Stellar_AI","Hero Section","Free","hero","3974","1","1","0","False","False","False","False","False","True","False","False","True","True","False","True","True","True","False","False","False","False","False","Inter"
"Synapse_Dark_Hero","SaaS","Premium","hero","1609","1","0","3","True","True","False","False","False","False","False","False","True","True","False","True","True","True","False","False","True","True","False",""
"Sync_AI","Hero Section","Premium","hero","6208","1","1","0","False","False","False","False","False","True","False","False","True","True","True","True","True","True","True","False","False","True","False","Inter"
"Targo_Logistics_Hero","SaaS","Premium","hero","2163","1","1","0","False","False","False","False","False","True","False","False","True","True","False","False","True","True","False","False","False","True","True",""
"Taskly","Hero Section","Free","hero","2466","1","0","0","False","False","False","False","False","False","False","False","False","False","False","True","True","True","False","False","False","True","False","Inter"
"Taskora_SaaS_Hero","SaaS","Premium","hero","2749","1","1","0","False","True","False","False","False","False","False","False","True","True","False","False","True","False","True","False","False","True","False","Inter,Instrument Serif,Manrope"
"Terra_Geo_Map","SaaS","Premium","hero","2619","1","1","0","False","False","False","False","False","True","False","False","True","False","False","True","True","True","False","False","False","False","True","Inter"
"Transform_Data","Hero Section","Premium","hero","3606","1","1","0","False","False","False","False","False","False","False","False","False","False","False","False","True","False","False","False","False","False","True","Inter"
"Velorah","Agency","Free","hero","3789","1","1","0","False","False","False","False","True","False","True","False","True","True","True","True","True","True","False","True","False","True","False","Inter,Instrument Serif"
"Viktor_Portfolio","Portfolio","Premium","landing-page","2694","2","2","0","False","True","False","False","False","True","False","False","True","True","False","False","True","True","False","False","False","True","False","Inter,Space Grotesk"
"Wealth_Video_Hero","Fintech","Premium","hero","2022","1","1","0","False","False","False","False","False","False","False","False","True","True","False","True","True","True","False","False","False","True","False",""
"Web3_EOS_Hero","Web3","Premium","hero","3113","1","1","0","False","False","False","False","False","False","False","False","False","False","False","True","True","True","False","False","False","False","False",""
"Weblex_Dark_Hero","Landing Page","Premium","hero","2548","1","1","0","False","False","False","False","False","True","False","False","True","True","True","True","True","True","False","False","False","False","False",""
"xPortfolio_Hero","Hero Section","Premium","hero","2875","1","1","0","False","False","False","False","False","True","False","False","True","True","False","True","True","True","True","False","False","False","False","Inter"
